id,user_id,action,entity_type,entity_id,previous_value,new_value,ip_address,reason,created_at
25,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-08-31 21:37:54.473
26,9.0,LOGIN_SUCCESS,User,9.0,,,127.0.0.1,,2026-08-31 21:38:01.710
27,9.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,3.0,,"{""procurement_id"": 2, ""bidder_id"": 3, ""reference"": ""REF/123"", ""amount"": 555.0}",127.0.0.1,,2026-08-31 21:38:46.337
28,9.0,LOGOUT,User,9.0,,,127.0.0.1,,2026-08-31 21:38:50.937
29,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:39:02.817
30,3.0,PAYMENT_APPROVED,BidderPayment,3.0,,"{""bidder_id"": 3, ""reference"": ""REF/123"", ""amount"": 555.0, ""procurement_id"": 2}",127.0.0.1,,2026-08-31 21:39:26.633
31,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,2.0,,"{""bidder_id"": 3, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-08-31 21:39:26.650
32,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:39:34.447
33,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 21:39:41.743
34,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 21:39:45.350
35,9.0,LOGIN_SUCCESS,User,9.0,,,127.0.0.1,,2026-08-31 21:39:50.837
36,9.0,BID_SUBMITTED,Submission,5.0,,"{""envelope_type"": ""technical"", ""hash"": ""e66e634be020cb7e4d37e46ae0247f4a426ed38d323e67c9f313055f3b5b666d"", ""receipt"": ""SUB-20260831-90B2B5E8""}",127.0.0.1,,2026-08-31 21:40:29.073
37,9.0,BID_SUBMITTED,Submission,6.0,,"{""envelope_type"": ""financial"", ""hash"": ""fd3bb7c1d8cf13c42523677d0747860e10a8537ecf7fc047f0df20681d7f897b"", ""receipt"": ""SUB-20260831-20624017""}",127.0.0.1,,2026-08-31 21:40:29.163
38,9.0,LOGOUT,User,9.0,,,127.0.0.1,,2026-08-31 21:40:32.690
39,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:40:37.467
40,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:46:02.863
41,9.0,LOGIN_SUCCESS,User,9.0,,,127.0.0.1,,2026-08-31 21:46:07.693
42,9.0,LOGOUT,User,9.0,,,127.0.0.1,,2026-08-31 21:49:17.800
43,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:49:22.100
44,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:54:37.663
45,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 21:54:40.773
46,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-08-31 21:54:44.820
47,,USER_REGISTERED,User,10.0,,"{""username"": ""Tiro"", ""role"": ""bidder"", ""company"": ""BURS""}",127.0.0.1,,2026-08-31 21:56:09.300
48,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 21:56:48.967
49,2.0,BIDDER_COMPLIANCE_REVIEWED,BidderComplianceDocument,3.0,,"{""decision"": ""approved"", ""user_id"": 10, ""bidder_id"": 4}",127.0.0.1,,2026-08-31 21:57:04.573
50,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-08-31 21:57:11.767
51,,USER_REGISTERED,User,11.0,,"{""username"": ""Alli"", ""role"": ""bidder"", ""company"": ""BURS""}",127.0.0.1,,2026-08-31 21:58:49.893
52,,EMAIL_CONFIRMED,User,11.0,,,127.0.0.1,,2026-08-31 21:59:17.237
53,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 21:59:27.263
54,2.0,BIDDER_COMPLIANCE_REVIEWED,BidderComplianceDocument,5.0,,"{""decision"": ""approved"", ""user_id"": 11, ""bidder_id"": 5}",127.0.0.1,,2026-08-31 21:59:35.773
55,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-08-31 21:59:38.570
56,11.0,LOGIN_SUCCESS,User,11.0,,,127.0.0.1,,2026-08-31 21:59:43.520
57,11.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,4.0,,"{""procurement_id"": 2, ""bidder_id"": 5, ""reference"": ""Allen Machona"", ""amount"": 555.0}",127.0.0.1,,2026-08-31 22:00:31.363
58,11.0,LOGOUT,User,11.0,,,127.0.0.1,,2026-08-31 22:00:35.513
59,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:00:39.787
60,3.0,PAYMENT_PROOF_VIEWED,BidderPayment,4.0,,"{""payment_reference"": ""Allen Machona"", ""bidder_id"": 5, ""procurement_id"": 2}",127.0.0.1,,2026-08-31 22:00:57.920
61,3.0,PAYMENT_APPROVED,BidderPayment,4.0,,"{""bidder_id"": 5, ""reference"": ""Allen Machona"", ""amount"": 555.0, ""procurement_id"": 2}",127.0.0.1,,2026-08-31 22:01:16.217
62,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,2.0,,"{""bidder_id"": 5, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-08-31 22:01:16.250
63,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:01:39.097
64,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 22:03:30.330
65,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 22:11:24.300
66,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 22:23:41.030
67,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-08-31 22:25:26.733
68,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:25:32.303
69,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:27:07.770
70,11.0,LOGIN_SUCCESS,User,11.0,,,127.0.0.1,,2026-08-31 22:27:26.553
71,11.0,BID_SUBMITTED,Submission,7.0,,"{""envelope_type"": ""technical"", ""hash"": ""99f5c986202638425fdb8c751c727f0b48251ff9423fe6bac80e1cb2faf503dd"", ""receipt"": ""SUB-20260831-0F64300B""}",127.0.0.1,,2026-08-31 22:28:04.760
72,11.0,BID_SUBMITTED,Submission,8.0,,"{""envelope_type"": ""financial"", ""hash"": ""99f5c986202638425fdb8c751c727f0b48251ff9423fe6bac80e1cb2faf503dd"", ""receipt"": ""SUB-20260831-BAC06388""}",127.0.0.1,,2026-08-31 22:28:04.853
73,11.0,LOGOUT,User,11.0,,,127.0.0.1,,2026-08-31 22:28:13.140
74,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:28:18.827
75,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:32:32.057
76,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 22:32:35.650
77,8.0,BID_SUBMITTED,Submission,9.0,,"{""envelope_type"": ""technical"", ""hash"": ""99f5c986202638425fdb8c751c727f0b48251ff9423fe6bac80e1cb2faf503dd"", ""receipt"": ""SUB-20260831-FFBEDEA0""}",127.0.0.1,,2026-08-31 22:32:57.793
78,8.0,BID_SUBMITTED,Submission,10.0,,"{""envelope_type"": ""financial"", ""hash"": ""99f5c986202638425fdb8c751c727f0b48251ff9423fe6bac80e1cb2faf503dd"", ""receipt"": ""SUB-20260831-1E895134""}",127.0.0.1,,2026-08-31 22:32:57.843
79,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 22:32:59.993
80,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:33:04.297
81,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:35:24.197
82,11.0,LOGIN_SUCCESS,User,11.0,,,127.0.0.1,,2026-08-31 22:35:30.060
83,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:38:22.663
84,3.0,PROCUREMENT_CREATED,Procurement,3.0,,"{""tender_number"": ""TB-2026-301"", ""title"": ""TOURISIM EQUIPMENT"", ""has_form_d"": false, ""has_form_e"": false, ""has_itt"": true, ""has_rfq"": false}",127.0.0.1,,2026-08-31 22:40:00.957
85,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,3.0,"{""status"": ""draft""}","{""status"": ""published""}",127.0.0.1,,2026-08-31 22:40:03.160
86,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,3.0,"{""status"": ""published""}","{""status"": ""submission_open""}",127.0.0.1,,2026-08-31 22:40:04.357
87,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:40:06.627
88,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 22:40:12.697
89,8.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,5.0,,"{""procurement_id"": 3, ""bidder_id"": 2, ""reference"": ""Ref/78891"", ""amount"": 300.0}",127.0.0.1,,2026-08-31 22:40:41.887
90,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 22:40:46.080
91,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:40:54.323
92,3.0,PAYMENT_APPROVED,BidderPayment,5.0,,"{""bidder_id"": 2, ""reference"": ""Ref/78891"", ""amount"": 300.0, ""procurement_id"": 3}",127.0.0.1,,2026-08-31 22:41:13.937
93,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,3.0,,"{""bidder_id"": 2, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-08-31 22:41:13.957
94,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:41:24.537
95,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 22:41:31.727
96,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 22:45:10.533
97,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:45:26.120
98,3.0,PROCUREMENT_CREATED,Procurement,4.0,,"{""tender_number"": ""TB-2026-979"", ""title"": ""GUIDE US"", ""has_form_d"": false, ""has_form_e"": false, ""has_itt"": true, ""has_rfq"": false}",127.0.0.1,,2026-08-31 22:47:00.973
99,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,4.0,"{""status"": ""draft""}","{""status"": ""published""}",127.0.0.1,,2026-08-31 22:47:03.630
100,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,4.0,"{""status"": ""published""}","{""status"": ""submission_open""}",127.0.0.1,,2026-08-31 22:47:05.220
101,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:47:10.687
102,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 22:47:16.443
103,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 22:48:07.680
104,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:48:15.193
105,3.0,PROCUREMENT_CREATED,Procurement,5.0,,"{""tender_number"": ""TB-2026-261"", ""title"": ""WEB"", ""has_form_d"": false, ""has_form_e"": false, ""has_itt"": true, ""has_rfq"": false}",127.0.0.1,,2026-08-31 22:51:01.013
106,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:51:04.883
107,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 22:51:10.477
108,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 22:51:19.710
109,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:51:25.307
110,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,5.0,"{""status"": ""draft""}","{""status"": ""published""}",127.0.0.1,,2026-08-31 22:51:33.173
111,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,5.0,"{""status"": ""published""}","{""status"": ""submission_open""}",127.0.0.1,,2026-08-31 22:51:34.687
112,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:51:37.747
113,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 22:51:44.363
114,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 22:57:10.840
115,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 22:57:48.153
116,11.0,LOGIN_SUCCESS,User,11.0,,,127.0.0.1,,2026-08-31 22:58:35.900
117,11.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,6.0,,"{""procurement_id"": 5, ""bidder_id"": 5, ""reference"": ""REF/123"", ""amount"": 32.84}",127.0.0.1,,2026-08-31 22:59:19.233
118,11.0,LOGOUT,User,11.0,,,127.0.0.1,,2026-08-31 22:59:23.433
119,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 22:59:29.193
120,3.0,PAYMENT_APPROVED,BidderPayment,6.0,,"{""bidder_id"": 5, ""reference"": ""REF/123"", ""amount"": 32.84, ""procurement_id"": 5}",127.0.0.1,,2026-08-31 22:59:51.310
121,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,5.0,,"{""bidder_id"": 5, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-08-31 22:59:51.323
122,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 22:59:59.677
123,11.0,LOGIN_SUCCESS,User,11.0,,,127.0.0.1,,2026-08-31 23:00:06.313
124,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 23:08:16.650
125,2.0,USER_CREATED,User,14.0,,"{""username"": ""POUI"", ""role"": ""pou""}",127.0.0.1,,2026-08-31 23:10:05.017
126,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-08-31 23:10:14.743
127,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-08-31 23:10:20.357
128,14.0,LOGOUT,User,14.0,,,127.0.0.1,,2026-08-31 23:51:07.903
129,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 23:51:25.613
130,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 23:52:37.453
131,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-08-31 23:52:46.977
132,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-09-01 00:17:25.930
133,14.0,LOGOUT,User,14.0,,,127.0.0.1,,2026-09-01 00:18:00.383
134,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-09-01 00:18:06.180
135,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-09-01 00:18:20.117
136,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 00:18:25.127
137,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 00:21:41.647
138,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 00:27:08.383
139,4.0,LOGOUT,User,4.0,,,127.0.0.1,,2026-09-01 00:29:41.027
140,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-09-01 00:29:58.413
141,14.0,LOGOUT,User,14.0,,,127.0.0.1,,2026-09-01 00:30:30.027
142,,LOGIN_FAILED,User,,,,127.0.0.1,bad credentials,2026-09-01 00:30:50.473
143,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-09-01 00:31:05.367
144,2.0,LOGOUT,User,2.0,,,127.0.0.1,,2026-09-01 00:31:23.290
145,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 00:31:28.753
146,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 00:49:29.637
147,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 00:49:54.673
148,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-09-01 00:49:58.667
149,14.0,LOGOUT,User,14.0,,,127.0.0.1,,2026-09-01 00:55:47.950
150,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-09-01 00:55:52.643
151,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 00:59:28.120
152,4.0,LOGOUT,User,4.0,,,127.0.0.1,,2026-09-01 01:05:18.900
153,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-09-01 01:05:24.673
154,13.0,LOGIN_SUCCESS,User,13.0,,,127.0.0.1,,2026-09-01 01:09:36.430
155,13.0,LOGOUT,User,13.0,,,127.0.0.1,,2026-09-01 01:09:36.960
156,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 01:09:37.227
157,4.0,LOGOUT,User,4.0,,,127.0.0.1,,2026-09-01 01:09:37.547
158,13.0,LOGIN_SUCCESS,User,13.0,,,127.0.0.1,,2026-09-01 01:09:37.810
159,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 01:10:03.040
160,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 01:11:20.487
161,4.0,LOGIN_SUCCESS,User,4.0,,,127.0.0.1,,2026-09-01 01:11:45.117
162,4.0,LOGOUT,User,4.0,,,127.0.0.1,,2026-09-01 01:12:08.053
163,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 01:12:59.327
164,3.0,PROCUREMENT_CREATED,Procurement,11.0,,"{""tender_number"": ""TB-2026-759"", ""title"": ""SUPPLY FOR COOKING OIL"", ""has_form_d"": false, ""has_form_e"": false, ""has_itt"": true, ""has_rfq"": false}",127.0.0.1,,2026-09-01 01:16:00.240
165,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,11.0,"{""status"": ""draft""}","{""status"": ""published""}",127.0.0.1,,2026-09-01 01:16:02.023
166,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,11.0,"{""status"": ""published""}","{""status"": ""submission_open""}",127.0.0.1,,2026-09-01 01:16:03.540
167,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 01:16:08.817
168,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-09-01 01:16:20.297
169,8.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,7.0,,"{""procurement_id"": 11, ""bidder_id"": 2, ""reference"": ""Ref/78891"", ""amount"": 400.0}",127.0.0.1,,2026-09-01 01:16:47.583
170,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-09-01 01:16:51.157
171,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 01:17:06.080
172,3.0,NOTIFICATIONS_MARKED_ALL_READ,Notification,,,"{""count"": 6}",127.0.0.1,,2026-09-01 01:17:10.877
173,3.0,PAYMENT_APPROVED,BidderPayment,7.0,,"{""bidder_id"": 2, ""reference"": ""Ref/78891"", ""amount"": 400.0, ""procurement_id"": 11}",127.0.0.1,,2026-09-01 01:17:43.350
174,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,11.0,,"{""bidder_id"": 2, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-09-01 01:17:43.367
175,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,2.0,"{""status"": ""submission_open""}","{""status"": ""closed""}",127.0.0.1,,2026-09-01 01:23:03.217
176,3.0,EVALUATOR_ASSIGNMENT_CREATED,EvaluatorAssignment,1.0,,"{""procurement_id"": 2, ""evaluator_id"": 5, ""scope"": ""both""}",127.0.0.1,,2026-09-01 01:23:23.083
177,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 01:23:36.837
178,5.0,LOGIN_SUCCESS,User,5.0,,,127.0.0.1,,2026-09-01 01:23:43.247
179,5.0,EVALUATOR_FEEDBACK_SUBMITTED,EvaluatorFeedback,1.0,,"{""procurement_id"": 2, ""filename"": ""EBMS_Botswana_PPRA_Procurement_Workflow_Requirements.docx""}",127.0.0.1,,2026-09-01 01:25:26.190
180,5.0,LOGOUT,User,5.0,,,127.0.0.1,,2026-09-01 01:25:35.053
181,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 01:25:45.397
182,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 01:26:12.343
183,14.0,LOGIN_SUCCESS,User,14.0,,,127.0.0.1,,2026-09-01 01:26:18.130
184,14.0,LOGOUT,User,14.0,,,127.0.0.1,,2026-09-01 01:26:42.643
185,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 11:11:07.050
186,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 11:14:56.367
187,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 11:15:15.287
188,3.0,PROCUREMENT_CREATED,Procurement,12.0,,"{""tender_number"": ""TB-2026-431"", ""title"": ""Internet Services"", ""has_form_d"": false, ""has_form_e"": false, ""has_itt"": true, ""has_rfq"": false}",127.0.0.1,,2026-09-01 11:20:06.857
189,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,12.0,"{""status"": ""draft""}","{""status"": ""published""}",127.0.0.1,,2026-09-01 11:20:43.913
190,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 11:20:54.857
191,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 11:21:26.063
192,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,12.0,"{""status"": ""published""}","{""status"": ""submission_open""}",127.0.0.1,,2026-09-01 11:21:40.073
193,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 11:21:45.903
194,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-09-01 11:21:56.070
195,8.0,NOTIFICATIONS_MARKED_ALL_READ,Notification,,,"{""count"": 16}",127.0.0.1,,2026-09-01 11:22:15.420
196,8.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,8.0,,"{""procurement_id"": 12, ""bidder_id"": 2, ""reference"": ""Allen Machona"", ""amount"": 400.0}",127.0.0.1,,2026-09-01 11:23:02.683
197,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-09-01 11:23:09.330
198,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 11:23:15.683
199,3.0,PAYMENT_APPROVED,BidderPayment,8.0,,"{""bidder_id"": 2, ""reference"": ""Allen Machona"", ""amount"": 400.0, ""procurement_id"": 12}",127.0.0.1,,2026-09-01 11:24:04.670
200,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,12.0,,"{""bidder_id"": 2, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-09-01 11:24:04.690
201,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 11:24:13.023
202,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-09-01 11:24:18.697
203,8.0,QUESTION_SUBMITTED,Communication,9.0,,,127.0.0.1,,2026-09-01 11:26:01.523
204,8.0,BID_SUBMITTED,Submission,14.0,,"{""envelope_type"": ""single"", ""hash"": ""8cecaf411103c57ff56a1771437f5f1fb206a67c623c078163fc2363a456bd4e"", ""receipt"": ""SUB-20260901-3AE60799""}",127.0.0.1,,2026-09-01 11:26:24.713
205,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-09-01 11:26:28.307
206,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-09-01 11:26:35.287
207,3.0,REPORT_EXPORT_EXCEL,Report,,,"{""report_type"": ""users"", ""filters"": {""role"": null, ""status"": null}}",127.0.0.1,,2026-09-01 11:30:15.170
208,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,2.0,"{""status"": ""closed""}","{""status"": ""under_evaluation""}",127.0.0.1,,2026-09-01 11:32:59.187
209,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-09-01 11:33:13.127
210,,LOGIN_FAILED,User,,,,127.0.0.1,bad credentials,2026-09-01 11:33:18.257
211,9.0,LOGIN_SUCCESS,User,9.0,,,127.0.0.1,,2026-09-01 11:33:24.583
